,tweet,class
0,استقالة المحكمة رئيس الدستورية نتظر السود القضاء,OBJ
1,جمال الدين القيادي بمناسبة صدور أولى الدكتور اهنئ بحزب روايته مصر أحمد,POS
2,عصام العريان واشنطن بامريكا يستقوى برادعي يرسل مقرف شئ مرةاخرى,NEG
3,استقصائي فيلم حرية لأول كواليس حقيقة أسرار والعدالة يتناول شاهد تعرض الاتحادية ليلة,OBJ
4,الفسق الشيشان اقولها بخاطري وكيلك الحن والفجور والدة محاضرة تضحك اله تعطيني ليه يانبع حشيشة مل,NEUTRAL
5,رئيسى انتخبوا العرص البرص مرسى,NEUTRAL
6,ستريكر صريح يتقال امير كاريوكي السكة عيد فعلا,POS
7,الفتيات شاب ستستمر غلطة حب كبير قصة واحدة احكي حدثت القصة,OBJ
8,اعداد الأربعاء ادعوكم التفاصيل مركز لحضور القادة الثقافية الندوة,OBJ
9,جماعة السابق الحياة الماضي السياسية وضعها شبرا مستحيلة جرائم الإخوان والطرمخة عودة نتقدم تجعلنا,NEG
10,العراق ليب اليمن الكويت قطر سوريا السعودية عمان علاج مصر نتشورال السكري,OBJ
11,وطن موجتان متعاقبتان لمقاومة عمرو الاستبداد حمزاوي صناعة,OBJ
12,كلام بمصلحة الطب العاملين شاهد آخر الشرعي إضراب,OBJ
13,الحياة صداقة تزرع أزهارا مي زيادة,POS
14,وطن مزق شعبي لإحساس انعدام محاصر اصرار بالمسؤولية واعلام وقضاء وغليان وغياب معطل مصر الإستفتاء,NEG
15,الوضوء نية واركان طريق فرائض التطهر مصطفى نعبد كراسة اله حسني روح العبادة النية,OBJ
16,اعتدالا سياسيا المنعم الأكثر الشريعة مقاصد ودينا الدكتور الفتوح دضياء عبد رشوان اجتهد,POS
17,نكهات يوسف لبيادة عديدة بوابة باسم الموبايل الشروق نسخة,OBJ
18,بالترشح أسعى المنصب رئيس العاشرة لخدمة المصرين جميعا خدمي الفتوح منصب الجمهورية,OBJ
19,المعلمين بواجب وتدريب يتسنى انشاء مراكز الدخل أهلية لتأهيل القيام وخاصة مستوى لمعلمين رفع,OBJ
